FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
F6070	APPLE JELLY, MINT-FLAVORED, ARTIFICIALLY COLORED	APPLE JELLY, MINT-FLAVORED, ARTIFICIALLY COLORED	A0179 B1012 C0108 E0119 F0014 G0003 H0145 H0147 H0150 H0227 J0001 K0003 M0001 N0001 P0024	
F6322	APPLE JELLY, MINT-FLAVORED, MINT LEAVES ADDED	APPLE JELLY, MINT-FLAVORED, MINT LEAVES ADDED	A0179 B1012 C0108 E0134 F0014 G0003 H0145 H0147 H0151 H0227 J0001 K0003 M0001 N0001 P0024	
F6072	APPLE JELLY, MINT-FLAVORED, WITH GREEN PEPPER	APPLE JELLY, MINT-FLAVORED, WITH GREEN PEPPER	A0179 B1012 C0108 E0134 F0014 G0003 H0145 H0147 H0212 H0227 J0001 K0003 M0001 N0001 P0024	
F6066	APPLE JELLY, RUM-FLAVORED	APPLE JELLY, RUM-FLAVORED	A0209 B1012 C0108 E0119 F0014 G0003 H0145 H0147 H0160 J0001 K0003 M0001 N0001 P0024	
F1419	APPLE JUICE	APPLE JUICE	A0127 B1245 C0140 E0123 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F1535	APPLE JUICE CONCENTRATE	APPLE JUICE CONCENTRATE	A0127 B1245 C0140 E0139 F0014 G0003 H0138 J0001 K0003 M0001 N0001 P0024	
F1921	APPLE JUICE DRINK	APPLE JUICE DRINK	A0130 B1245 C0140 E0123 F0001 G0003 H0148 J0001 K0003 M0001 N0001 P0024	
F1957	APPLE JUICE DRINK, FROZEN CONCENTRATE	APPLE JUICE DRINK, FROZEN CONCENTRATE	A0130 B1245 C0140 E0139 F0001 G0003 H0112 J0136 K0003 M0001 N0001 P0024	
F5745	APPLE JUICE, ARTIFICIALLY COLORED, CANNED	APPLE JUICE, ARTIFICIALLY COLORED, CANNED	A0127 B1245 C0140 E0123 F0014 G0003 H0150 J0123 K0003 M0194 N0001 P0024	
F10588	APPLE JUICE, CANNED	APPLE JUICE, CANNED	A0127 B1245 C0140 E0123 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024	
F6166	APPLE JUICE, CARBONATED	APPLE JUICE, CARBONATED	A0127 B1245 C0140 E0123 F0001 G0003 H0175 J0001 K0003 M0001 N0001 P0024	
