FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
CX138-1983 	PINEAPPLE JUICE, CONCENTRATED, PRESERVED EXCLUSIVELY BY PHYSICAL MEANS 	PINEAPPLE JUICE, CONCENTRATED, PRESERVED EXCLUSIVELY BY PHYSICAL MEANS 	A0127 B1484 C0138 E0121 F0014 G0003 H0138 H0200 J0123 K0003 M0194 N0001 P0024
CX139-1983 	PINEAPPLE JUICE, CONCENTRATED, WITH PRESERVATIVES, FOR MANUFACTURING 	PINEAPPLE JUICE, CONCENTRATED, WITH PRESERVATIVES, FOR MANUFACTURING 	A0127 B1484 C0138 E0121 F0014 G0003 H0138 H0200 J0100 K0003 M0194 N0001 P0024
CX14-1981 	PEACH, CANNED 	PEACH, CANNED 	A0143 B1350 C0138 E0151 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX140-1983 	CARROT, QUICK FROZEN 	CARROT, QUICK FROZEN 	A0152 B1227 C0240 E0151 F0001 G0003 H0001 J0132 K0003 M0001 N0001 P0024
CX141-1983A 	COCOA (CACAO) NIB 	COCOA (CACAO) NIB 	A0272 B1318 C0133 E0100 F0001 G0003 H0119 H0253 J0001 K0003 M0001 N0001 P0024
CX141-1983B 	COCOA (CACAO) MASS 	COCOA (CACAO) MASS 	A0272 B1318 C0133 E0122 F0001 G0003 H0119 H0253 J0001 K0003 M0001 N0001 P0024
CX141-1983C 	COCOA PRESS CAKE 	COCOA PRESS CAKE 	A0272 B1318 C0132 E0147 F0001 G0003 H0119 H0253 H0247 J0001 K0003 M0001 N0001 P0024
CX141-1983D 	COCOA DUST 	COCOA DUST 	A0272 B1318 C0133 E0106 F0001 G0003 H0119 H0253 J0001 K0003 M0001 N0001 P0024
CX142-1983A 	CHOCOLATE, COMPOSITE 	CHOCOLATE, COMPOSITE 	A0288 B1012 C0108 E0147 F0001 G0001 H0225 H0231 H0119 H0253 J0001 K0003 M0001 N0001 P0024
CX142-1983B 	CHOCOLATE, FILLED 	CHOCOLATE, FILLED 	A0288 B1012 C0108 E0147 F0001 G0003 H0207 H0231 H0119 H0253 J0001 K0003 M0001 N0001 P0024
CX143-1985 	DATE 	DATE 	A0143 B1209 C0137 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX144-1985 	PALMITO, CANNED 	PALMITO, CANNED 	A0152 B1286 C0162 E0122 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX145-1985A 	CHESTNUT, CANNED 	CHESTNUT, CANNED 	A0260 B1544 C0132 E0151 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024
CX145-1985B 	CHESTNUT PUREE, CANNED 	CHESTNUT PUREE, CANNED 	A0260 B1544 C0132 E0135 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024
